club,club_id,number,name,short_name,DoB,poste,lequipe_id
Clermont,242,34,Aïman Maurer,A. Maurer,25/09/04,Mil.,92450
Clermont,242,11,Jim Allevinah,J. Allevinah,27/02/95,Att.,75867
Clermont,242,11,Mohamed Bayo,M. Bayo,04/06/98,Att.,66093
Clermont,242,8,Jason Berthomier,J. Berthomier,06/01/90,Att.,32340
Clermont,242,,Mathis Clairicia,M. Clairicia,30/08/02,Att.,93460
Clermont,242,10,Lucas Da Cunha,L. Da Cunha,09/06/01,Att.,68264
Clermont,242,26,Pierre-Yves Hamel,P. Hamel,03/02/94,Att.,57104
Clermont,242,,Karim Mohamed,K. Mohamed,02/04/01,Att.,92449
Clermont,242,18,Elbasan Rashani,E. Rashani,09/05/93,Att.,61091
Clermont,242,9,Jordan Tell,J. Tell,10/06/97,Att.,62921
Bordeaux ,18,2,Stian Gregersen,S. Gregersen,17/05/95,Déf.,83736
Bordeaux ,18,6,Laurent Koscielny,L. Koscielny,10/09/85,Déf.,21840
Bordeaux ,18,25,Enock Kwateng,E. Kwateng,09/04/97,Déf.,55438
Bordeaux ,18,,Johaneko Louis-Jean,J. Louis-Jean,28/06/04,Déf.,93799
Bordeaux ,18,12,Ricardo Mangas,R. Mangas,19/03/98,Déf.,64007
Bordeaux ,18,3,Abdel Medioub,A. Medioub,28/08/97,Déf.,82618
Bordeaux ,18,14,Gideon Mensah,G. Mensah,18/07/98,Déf.,65406
Bordeaux ,18,4,Edson Mexer,E. Mexer,08/09/88,Déf.,35518
Bordeaux ,18,,Yaël Mouanga,Y. Mouanga,23/07/05,Déf.,93803
Bordeaux ,18,22,Timothée Pembélé,T. Pembélé,09/09/02,Déf.,82170
Brest ,267,14,Irvin Cardona,I. Cardona,08/08/97,Att.,58962
Brest ,267,25,Romain Del Castillo,R. Del Castillo,29/03/96,Att.,52568
Brest ,267,9,Franck Honorat,F. Honorat,11/08/96,Att.,50545
Brest ,267,26,Jérémy Le Douaron,J. Le Douaron,21/04/98,Att.,66883
Brest ,267,15,Steve Mounié,S. Mounié,29/09/94,Att.,50834
Brest ,267,19,Rafiki Saïd,R. Saïd,15/03/00,Att.,82626
Brest ,267,11,Martin Satriano,M. Satriano,20/02/01,Att.,84400
Lille ,43,,Mamadou Usman Simbakoli,M. Simbakoli,19/04/01,Att.,82112
Lille ,43,22,Timothy Weah,T. Weah,22/02/00,Att.,65742
Lille ,43,17,Burak Yilmaz,B. Yilmaz,15/07/85,Att.,25807
Lille ,43,23,Edon Zhegrova,E. Zhegrova,31/03/99,Att.,63887
Lens ,9,7,Florian Sotoca,F. Sotoca,25/10/90,Att.,50563
Lens ,9,33,Mohamed Cissé,M. Cissé,26/04/01,Inc.,90658
Bordeaux ,18,19,Yacine Adli,Y. Adli,29/07/00,Mil.,66128
Bordeaux ,18,,Emeric Depussay,E. Depussay,27/08/01,Mil.,72133
Bordeaux ,18,13,Fransergio,Fransergio,18/10/90,Mil.,52475
Bordeaux ,18,27,Tom Lacoux,T. Lacoux,25/01/02,Mil.,85547
Bordeaux ,18,8,Jean Onana,J. Onana,08/01/00,Mil.,79468
Bordeaux ,18,,Rudy Orea,R. Orea,04/06/02,Mil.,93804
Bordeaux ,18,5,Otavio,Otavio,04/05/94,Mil.,58019
Bordeaux ,18,,Johab Pascal,J. Pascal,10/03/00,Mil.,74994
Bordeaux ,18,20,Issouf Sissokho,I. Sissokho,30/01/02,Mil.,82620
Bordeaux ,18,17,Mehdi Zerkane,M. Zerkane,15/07/99,Mil.,66204
Bordeaux ,18,32,Dilane Bakwa,D. Bakwa,26/08/02,Att.,72044
Bordeaux ,18,7,Jimmy Briand,J. Briand,02/08/85,Att.,18966
Bordeaux ,18,37,Logan Delaurier-Chaubet,L. Delaurier-Ch. . . ,22/04/02,Att.,82621
Bordeaux ,18,21,Javairo Dilrosun,J. Dilrosun,22/06/98,Att.,70063
Bordeaux ,18,29,Alberth Elis,A. Elis,12/02/96,Att.,60376
Bordeaux ,18,18,Ui-jo Hwang,U. Hwang,28/08/92,Att.,70914
Bordeaux ,18,9,Josh Maja,J. Maja,27/12/98,Att.,61577
Bordeaux ,18,11,Sekou Mara,S. Mara,30/07/02,Att.,82623
Bordeaux ,18,23,M'Baye Niang,M. Niang,19/12/94,Att.,37439
Bordeaux ,18,,Moudja Sie Ouattara,M. Ouattara,20/05/02,Att.,82622
Bordeaux ,18,28,Rémi Oudin,R. Oudin,18/11/96,Att.,59643
Bordeaux ,18,31,Amadou Traoré,A. Traoré,07/03/02,Att.,70282
